Tweet,Sentiment
"@QTRBlackGarrett It's this simple. Get a football player, give him a big gun, and ha e him blow away demons in some https://t.co/lXPnYgMg0h",neutral
"https://t.co/0RVUnyYBuF: ""Birmingham City &amp; Aston Villa fined 5,000 for failing to control players in Second City https://t.co/ZV6LHerBgs",neutral
@garethd007 @OrlandoCitySC @NERevolution @MLS The fans will show up for sure. They try their best. Football is the https://t.co/VJrYlAHfjt,positive
Tom Izzo doing the Lord's work politely roasting the incompetency of the selection committee and how much better th https://t.co/2IZVSDwHWW,neutral
"@_lippylipez https://t.co/8ZyoLrZO2x

Bastard injury time goals ",neutral
"Izzo says college football ""kicks our butt"" in the postseason selection process in terms of makeup of who picks tea https://t.co/6zSGYV9JhL",neutral
@WhatTheFFacts That man made a football club and created a character thats known around the world. What a smart lad,positive
@btrossler See Walter Football ,neutral
@little_football I just saw the goal. Absolute peach!,positive
"@football_Kelly They usually follow their original account to give themself an extra follower, like a dumbass",negative
"Izzo on posteseason selction process: Ill probably piss of a lot of people in the basketball world, but football kicks our butt.",negative
@EASPORTS Bring BACK NCAA FOOTBALL,neutral
"Front Runner Football Podcast

Clifford Mulenga is also in Studio 
 Please send us your questions https://t.co/PYav163RWi",neutral
"Football linemen are encouraged to gain and maintain an enormous amount of extra weight, which sets us up for a var https://t.co/mfNuh8myE5",neutral
"@SkyNews So points on licence, treated same as everyone else, being able to kick a football &amp; be wealthy does not c https://t.co/ZVXmscbStQ",negative
@4thDownFantasy @nflzack @TheBubbleBubble @KevinHart4real @BrickTamland123 I want to get 1000 followers and I need https://t.co/8C5c21TQvK,neutral
"@hughwizzy I don't think Sanllehi has nearly as many ""good relationships"" in European football as he thinks he does.",neutral
I went to a football match last year and a rugby match this year. 2020: LACROSSE.,neutral
The Alien Vs. Predator saga was almost resolved over a game of football https://t.co/st9eUmCKM7 https://t.co/CdtSvIfO7n,neutral
The biggest managerial coup in league football https://t.co/EIhpawFZ9l https://t.co/XLSgXqvpob,neutral
"@Soccer_Laduma @FCBarcelona Why do you guys keep comparing, please let the boys just play their football and we enj https://t.co/6tfVD0iur2",negative
"@KyleBogey971 a first, a 3rd and Peppers who's best football is ahead of him is nothing? for a drama queen princess https://t.co/WmQqMsLavo",positive
"Different football managers have different jobs according to the club they manage, and why they shouldn't be judged https://t.co/DF6NzfGLwZ",negative
Who wants a new episode of the Audio Football Club podcast? You? Great! Here it is. @Minarzouki @Matt_Law_DT https://t.co/BX2IZf6Ztj,positive
"@knighthawk1970 Timmy time !!!

Remember we run Scottish football , top to bottom SFA , referees , VAR its all for https://t.co/uhEsKATQpF",neutral
"Prisoners of deceptive leadership, non of them can be appointed to be National team handlers, why can't FA appoint https://t.co/C0e9mMRgDH",negative
@_Antoni0__ @CFCGARYG @judyswagz @DwAyNe_B8z @UpTheChelsCFC @Chris101188 This is the worst football Ive seen us pl https://t.co/3FgEtpOYVD,negative
Four Four Two Football Magazine Issue 147 https://t.co/7PAOluAYdD,neutral
Izzo points out football gets it by putting football people on the committee. Not a priority in hoops,neutral
"Mane celebrated alone..

https://t.co/SNXBzz4RTL",neutral
Why United might be supporting City in the FA Cup this season #mufc https://t.co/FgRJycZgua,neutral
"Izzo says he thinks football ""kicks (basketball's) butt"" when it comes to the selection committee.",neutral
@MikePri75807268 @tikaij2 @dazalin4 @daboot02 @LSUfootball @DemetricDWarren @ChadSimmons_ we ate him alive now she https://t.co/9yKAiJ6rhL,neutral
"@bee03081982 Ham &amp; chips, light tea cause I'm playing football tonight",neutral
"_ @carberygaa  U21 A Football Championship Quarter Final 
30mins 2nd half
@carberyrangers: 1-11(14)
@IlenRoversGaa: 0-12(12)
In injury time",neutral
MyClubPro website users @Ridgeway_fc will feature on tonight's @ITV program Harry's Heroes: The Full English at 9pm https://t.co/eEHRTDgBzX,neutral
@Riddock__ Some people just like to watch others fail. I just dont understand the hate towards salah of all people https://t.co/qqUPva8eLa,negative
@CarefreeEdition Heres something to read for the arrogant matchgoing fans https://t.co/coaVbIjnhk,neutral
No team is trading for Burfict https://t.co/RAyqWxieU7,neutral
THE FOOTBALL MODERNE https://t.co/TVNAC83yWW,neutral
@Football_SCOT If that was the case then why is it only enforced occasionally? Flags cover signs/hoardings all the https://t.co/pDaYsvMVA0,neutral
After school football club with @CCFC_Foundation yr2 and yr3. https://t.co/mML1YgnrQs,neutral
"Friday night football, Saturday last call, Sunday hallelujah! Take this Ram to all occasions! Got to see it to beli https://t.co/cJfV5VbzS0",positive
Vontaze quit football a long time ago. https://t.co/M4tljt3Qf2,neutral
@England @FootyAccums @StGeorgesPark @_DeclanRice FOOTBALL BELONGS HERE.,neutral
@voleurbad @7kwabenabrian7 football things,neutral
@brfootball @UEFAcom @FIFAcom exemplifying the double standards of football.  Simeone should have been penalized th https://t.co/uvqaP6rdeQ,neutral
"Should have been tributes in all football matches in England on Friday, Saturday and Sunday. Disgusting that it has https://t.co/7WHcb557y3",neutral
Damn I miss Falcons football,negative
"Intriguing two-sport star @treyboll says ""it was definitely cool"" to get an offer from @WVUfootball. Read https://t.co/ykiYxNAJma",neutral
"@RhodyFootball @HEROSportsFCS Go @RhodyFootball and @HEROSportsFCS . Be the Giant killer. Win @CAA_Football , Go to https://t.co/q01HlvYzzw",neutral
@bswilkinson @Ashleymcduff1 Not elite football. The Champions league is of a higher echelon imo,neutral
@DanEdwardsGoal @ElMengem that kid is 34 years old and has scored more than 130 goals in Bundesliga history. Im https://t.co/zPXq2Uriwf,neutral
"@C_Hanagriff If it was football, thered be a chance.",neutral
@blueblood425 @GottliebShow @CoachPeteUW @UW_Football that's not the point... Not even close.,negative
The major football rule changes that will affect Leeds United next season: https://t.co/rjMnPWmPGE,neutral
Leeds United's staggering injury list in full following latest Pontus Jansson blow: https://t.co/IgjMqFDxuy,neutral
Tottenham will freeze season ticket prices for first full campaign in new stadium: https://t.co/eQ4dzHPBuI,neutral
Ref Watch: Maddison had to be booked: https://t.co/hdjMxjZDsq,neutral
England team news vs Czech Republic: Predicted line up Three injured for Euro qualifier: https://t.co/v8cPyoawz7,neutral
Tottenham confirm first game at new stadium against Crystal Palace: https://t.co/Y676MCqXic,neutral
@TaelurAlexis I play football very well and I love music,positive
"Oh. My. God. Messi, a hat-trick and a stadium left in suspended animation - well worth a read and watch of the vide https://t.co/1xrQMqk7Ya",positive
@EverythingK_Jay Dave Gentlemen said  it was an offer we couldnt refuse and that it was purely a football decisio https://t.co/uDxoNx4GaF,neutral
@CJFROMPARMA YO WHEN DID YOU PLAY FOOTBALL!!?!?!?!?,neutral
"Premier League, EFL &amp; FA accused of 'double standards' for not holding mosque attack tribute https://t.co/H5XJInrVPO",neutral
@CoachRyanDavis @Eleikosport @CoachFyle @Coach_Baggett Thought MD Football was getting equipment out of South Carolina ?,neutral
"Determined to improve on LAFC's 2018, Vela has an MVP look early in 2019 https://t.co/8suw6YXwSQ #football",neutral
EXTRA TIME: Watch Jeremy Brockie admiring the passion for football in Casablanca https://t.co/39RzBXFrir #football,neutral
Arsenals Iwobi leads early arrivals in Nigeria camp for Seychelles clash https://t.co/89NbLajhal #football,neutral
The Wanda Metropolitano has set a new world record for the biggest attendance in a women's football match in histor https://t.co/cXmOAbZgKr,neutral
I really do miss playing football,neutral
"You best believe my kid gonna be iced tf outtttt! Whether they playin baseball, softball, football, basketball, track, whatever",positive
@NiiNiiFC @PGCFC001 @EMG_38 Because they have no clue of his philosophy and scared of change they are only used to pragmatic football,negative
@spursNutN17 @rubberduck57 @LittleMissTHFC  dam right they should freeze prices they should put prices down more li https://t.co/wVPefuYipz,neutral
"@thatcherlover @reluctantnicko True. Could be a whole range of points. Ultimately, the football league wouldnt wan https://t.co/XVGlVPzFNs",neutral
I wrote about Burfict for @ringer a few years ago. https://t.co/x8XxyuxhWP https://t.co/sltk39sRZY,neutral
"Hey you, Thor! Go to save the world, football is not for you!  https://t.co/F6xgobZppd",neutral
Why Football Matters https://t.co/oF47kvFqaN,neutral
"Zach Charbonnet came into campus needing a procedure on his meniscus. Doesn't sound serious. Not participating in spring football, though.",negative
"We had the best football uniforms in the county. 

Suitland came close but they added that silver shit LOL. https://t.co/hPZJ2Z8kua",positive
@bjcreigh @DarthContinent @realDonaldTrump Bad comparison Biden avoided the draft claiming asthma.  Didnt seem to https://t.co/yPRyokEx8u,negative
"@PatriotsInform Marvin Lewis no longer in the organization, and smart football decisions are made. What a novel concept.",positive
"Please no team sings him, never again. He is beyond what should be permissible to do in football field. https://t.co/4uhpHXJWHb",negative
"@wingsenforcer @nick_balcer @fairplayoffs @MHSAA Again...so much privilege, yet so few football and basketball titles...",neutral
Juan Mata admits Wolves deserved to win FA Cup clash with Manchester United https://t.co/K6arbYCUh7 https://t.co/Es8dDE6GBx,neutral
Front Runner Football Podcast: Episode 15 https://t.co/ykG1TFLFEf,neutral
Why do you want my attention so bad? No offense but you have some serious issues. Youre THIRTEEN and youre out he https://t.co/gBruQIktNj,negative
@Cyberia_601 @GaryLineker He's basically the Jonathan E of football.,neutral
Massive shout out to @JulianHanses for sending this amazing prize win to my F3 and F3 and football mad son. You hav https://t.co/U0q2e1RbGZ,positive
@Valnoon13 Mourinho has lowered our expectations so much that as soon as we see attacking football we cum... i want https://t.co/J1aiAigC8i,negative
"@33Rude41 @Jag18026392 @profileenterta1 @DiBiaseLOE @EliotShorrParks Not bashing LeBlanc, Douglas or Maddox but you https://t.co/fmcaDRNQU6",neutral
"BBC Sport - Birmingham City &amp; Aston Villa fined 5,000 for failing to control players in Second City derby &gt; https://t.co/azghfcJD6Z",neutral
"Forecast high Sunday: 77. Perfect for a 1:00 p.m. football game at Arizona's iconic football venue, Sun Devil Stadi https://t.co/w6eASOd8YC",neutral
"The City Football Schools coaching team organises an interactive clinic at Zayed Sports City 

#MeetTheDetermined https://t.co/thuswEvLLL",neutral
@AkiyukiTakehara @argusseye @FondofFootball @DannyelRMCF @Rygista Didnt Messi score the greatest goal in a UCL Sem https://t.co/B7Nhziq7qn,neutral
Also shout out to Brent Musburger for being the voice I recognize that takes me back to everything that made me fal https://t.co/FALN8kVHZ4,positive
For spring break my 6 year old son is attending a sports camp at the old rams park. I told him he is playing on the https://t.co/LyEkpStqZ5,neutral
